Rating,Restaurant Name,Categories,Average Rating,Experience Date,Username,Review Title,Information,Review Text,Processed Review Text
5,Dineindulge,"['Caterer', 'Catering food and drink supplier', 'Meal Delivery', 'Mobile Caterer', 'Restaurant']",4.9,2023-10-09,Andy,A lovely memorable experience.,"Dineindulge is the world’s 1st and only private chef experience. Our personal chef hire service & menus are available in over 10 countries and whether you are booking us in London, Paris, or Rome, you can experience restaurant quality cuisine, at a restaurant price in the comfort of your own home or holiday accommodation.

The Dineindulge service includes your own private chef who will freshly prepare, cook, and serve your chosen Dineindulge menu by taking over your kitchen and equipment in the home, accommodation, or venue. The service is designed to be relaxed and personable with your chef introducing each dish to the table, as well as clearing and cleaning down the kitchen and even doing the washing up before they leave!","Bought this experience as a present for a good friend. Our chef Ping arrived in good time and went on to prepare a truly memorable and delicious meal. He was polite, attentive and tidy and above all a brilliant chef. Made it all look so easy.It's not cheap but worth it for the experience and something we'd recommend.",bought experi present good friend chef king arriv good time went prepar truli memor delici meal polit attent tidi brilliant chef made look expens worth experi someth recommend
5,Bella Cosa Restaurant,['Restaurant'],4.5,2020-09-10,Raven Prem,One of my favourite restaurants to go…,"Bella Cosa is a stylish modern Italian restaurant at the heart of Canary Wharf overlooking South Dock. Serving a variety of pizza and pasta dishes in addition to Bella Cosa’s regional Italian specials, all using quality Italian ingredients.

The space has great views over the river and is perfect for family dinners, couple’s nights out and business lunches with space for group dining in the upstairs private dining room with a view.","One of my favourite restaurants to go to- food is amazing and somehow the service is even better! Huge thanks to the waiters, especially Leo and Sunil who are  always extremely helpful with their overall service. Great selection of drinks available as well and would definitely recommend Bella Cosa.",one favourit restaur go food amaz somehow servic even better huge thank water especi leo alway extrem help overal servic great select drink avail well would definit recommend bell cost
5,Barmans.co.uk,['Restaurant'],4.6,2016-07-21,Tereasa ,Great product xx,"Catering equipment suppliers of Bar Equipment, Bottle Coolers, Commercial Refrigeration, Bar Sundries, Ice Makers, Glassware and much more...",Bags of fun to be had this summer,bag fun summer
5,Dinggly,['Telecommunications equipment supplier'],4.7,2023-07-11,Landmark Space,Outstanding level of service,"Dinggly’s wireless paging and call button systems make it extraordinarily easy for people to request the assistance of others.

Featuring cloud technologies, our range includes premium quality call buttons and virtual call buttons (driven by QR codes). Calls can be received on mobile phones, tablets, smartTVs, Dinggly wrist pagers, compatible smart-plugs, a computer browser or integrate with other software. 

Our call button paging systems work over your WiFi network so range is never an issue as long as a button is connected to WiFi. Staff can be on any WiFi or cellular network to receive the calls.

Dinggly call button paging systems are found in hotels, restaurants, offices, retailers, educational institutions and factories around the world.

Customers can configure and update their pager systems via a secure portal. Tasks such as changing the name of a call button or staff login names are easily performed.

The calling device, responder and response time are logged against every call. For those that want access to this data, Dinggalytics provides a rich pool to information to evaluate your system and operation.


The main benefits of a Dinggly paging system are: * Dinggly Call buttons are intelligent devices with 2-way communication. When someone presses the button, they see a blue light and hear a sound (optional). When the call is accepted on any device, the light changes to green, and a sound is heard, so the caller knows someone is on their way. * Dinggly receiving devices talk to one another - so when a receiving device accepts a call, it tells all the other devices which received the same call that the call is in hand, and who accepted the call. This avoids duplicated effort. * The calls can come through to alert any combination of mobile phones/tablets/desktops/laptops/Smart TV's and/or Dinggly supplied WiFi Wrist Pager watches. * Up to 3 levels of call escalation are available for calls which are not answered within a preset time delay. * Calls from Call buttons can be directed to different recipients based on call source and call type. * Due to the cloud architecture of the Dinggly system, there are no distance limitations to implementing the solution, as long as there is a WiFi signal where the Call Buttons and Dinggly WiFi Watches are used, and a WiFi or cellular signal where mobile receiving devices are used. * When the call button needs to be recharged, it sends out an email to one or more persons. * Dinggly offers a very high level of reliability as there are no on site servers which can fail, since all devices communicate with a central cloud based data centre.

Find out more about us at www.dinggly.com
","In my role as the Service Delivery Coordinator for the Tech team at Landmark, we engaged with Dinggly on two occasions and both times their level of services has been outstanding. From taking the time to fully understand our business needs to explaining how their product can assist, no request was too big or too small. They are quick to respond and promptly addressed my many requests, fulfilling them with a high level of professionalism. Several times, I emailed a request and it was fulfilled within the hour! The team posses a great sense of personal connection and have been an amazing help throughout our project.",role servic deliveri coordin teach team landmark engag singli two occas time level servic outstand take time fulli understand busi need explain product assist request big small quick respond promptli address mani request fulfil high level profession sever time remain request fulfil within hour team loss great sens person connect amaz help throughout project
5,The House of Bruar,"['Clothing Shop', 'Homewares Shop', 'Restaurant']",4.5,2024-01-06,Chirine A.,Quality service & products,"Scottish country clothing specialists the House of Bruar enjoy a unique reputation for quality that extends throughout our clothing, produce and art collections.",Excellent and speedy service.,excel speedi servic
5,La Belle Assiette UK,['Caterer'],4.8,2022-05-09,Huw D.,An absolute delight,"Love entertaining in the privacy of your place. Book a private chef. No queue. No taxi. No baby-sitting. Relax and enjoy your guests.

We curate and manage the largest selection of professional chefs in the UK: you can choose from over 250 chefs. The chefs adhere to La Belle Assiette's quality charter: 'home' cooking, fresh, seasonal, organic and local ingredients wherever possible.

Browse the La Belle Assiette app and instantly book the available chefs online. Menus can be personalised and reflect the culinary identity of the Chefs. Our concierges will put you in contact with the selected Chef after the booking.

There are many ways to enjoy a private Chef entirely dedicated to your celebration: sit-down dinner, cocktail buffet, cooking class, gourmet delivery. Anywhere: at home, at your chalet/short-term rental or on your corporate office premises. 

Family dinner. Casual friends dinner. Fine dining. Birthday party. Cocktail party. Holiday home chef. Hen do. Office lunch. Client closing dinner. Corporate offsite. Seminar.","A fantastic evening - Chef G was brilliant from start to finish. Food was absolutely delicious, full of surprises - he is a very talented Chef. He is a lovely chap - a pleasure to spend time with, and achieved  the right balance of engagement with us. Now looking for an excuse to book him again!",fantast even chef g brilliant start finish food absolut delici full surpris talent chef love chap pleasur spend time achiev right balanc engag us look excus book
5,Dinggly,['Telecommunications equipment supplier'],4.7,2022-09-01,FENWICK,Exceptional,"Dinggly’s wireless paging and call button systems make it extraordinarily easy for people to request the assistance of others.

Featuring cloud technologies, our range includes premium quality call buttons and virtual call buttons (driven by QR codes). Calls can be received on mobile phones, tablets, smartTVs, Dinggly wrist pagers, compatible smart-plugs, a computer browser or integrate with other software. 

Our call button paging systems work over your WiFi network so range is never an issue as long as a button is connected to WiFi. Staff can be on any WiFi or cellular network to receive the calls.

Dinggly call button paging systems are found in hotels, restaurants, offices, retailers, educational institutions and factories around the world.

Customers can configure and update their pager systems via a secure portal. Tasks such as changing the name of a call button or staff login names are easily performed.

The calling device, responder and response time are logged against every call. For those that want access to this data, Dinggalytics provides a rich pool to information to evaluate your system and operation.


The main benefits of a Dinggly paging system are: * Dinggly Call buttons are intelligent devices with 2-way communication. When someone presses the button, they see a blue light and hear a sound (optional). When the call is accepted on any device, the light changes to green, and a sound is heard, so the caller knows someone is on their way. * Dinggly receiving devices talk to one another - so when a receiving device accepts a call, it tells all the other devices which received the same call that the call is in hand, and who accepted the call. This avoids duplicated effort. * The calls can come through to alert any combination of mobile phones/tablets/desktops/laptops/Smart TV's and/or Dinggly supplied WiFi Wrist Pager watches. * Up to 3 levels of call escalation are available for calls which are not answered within a preset time delay. * Calls from Call buttons can be directed to different recipients based on call source and call type. * Due to the cloud architecture of the Dinggly system, there are no distance limitations to implementing the solution, as long as there is a WiFi signal where the Call Buttons and Dinggly WiFi Watches are used, and a WiFi or cellular signal where mobile receiving devices are used. * When the call button needs to be recharged, it sends out an email to one or more persons. * Dinggly offers a very high level of reliability as there are no on site servers which can fail, since all devices communicate with a central cloud based data centre.

Find out more about us at www.dinggly.com
","Dinggly have been exceptional over the last 12 months. Their understanding of our use case, combined with their experience in the industry, helped us develop a great system to improve our level of hospitality. Above all, the communication has been excellent- minimum same business day replies, often within the same hour. Always friendly, with great customer service!",singli except last month understand use case combin experi industri help us develop great system improv level hospit commun minimum busi day repli often within hour alway friendli great custom servic
5,Hawksmoor at Home ,['Meal Delivery'],4.1,2023-08-25,Jk,Wow what can I say.Manchester today we…,,Wow what can I say.Manchester today we had the best customer service from a Northern Irish lad.Also the best food I have ever tasted. Good old English food.Also best service.First time I have visited as it was my son's birthday.We will be back 🥰,today best custom servic northern irish best food ever tast good old english best time visit son back
5,Hawksmoor at Home ,['Meal Delivery'],4.1,2021-03-15,Rose T,Delicious and easy to prepare,,"I have ordered two boxes so far, my favourite was the Porterhouse box from March. To be honest I was quite nervous spending so much money on a meal kit that involved my (lack of) skill to cook the main ingredient and wasn't convinced it would in anyway reflect a true Hawksmoor experience. However I was happily surprised. The time consuming elements like sauces and sides are all ready prepared and taste fabulous, super easy to heat up. The video tutorial for preparing the steaks was very clear and easy to follow and the steaks turned out perfectly both times. Although nothing will ever really beat the in restaurant experience,  this came very close and brought back lovely memories. All in all, a lovely treat which we really enjoyed.",order two box far favourit porterhous box march honest quit nervou spend much money meal kit involv lack skill cook main ingredi convinc would anyway reflect true hawksmoor experi howev happili surpris time consum element like fauc side readi prepar tast fabul super easi heat video tutor prepar speak clear easi follow speak turn perfectli time although noth ever realli beat restaur experi came close brought back love memori love treat realli enjoy
5,KBK,['Online Food Ordering Service'],4.6,2022-07-19,Trine Jensen-martin,Super tasty food and great customer…,"From the very start, KBK has been at the forefront of the clean eating movement. The company has evolved to procure and build a passionate team that continues to exemplify and promote its core values of quality, passion, trust, transparency and simplicity.

We help all sorts of people with meal prepping, from the strictest calorie-counters to those just looking to be a bit healthier in their daily life. We do things quickly, efficiently and conveniently, helping people get the freshest, tastiest food in the quickest way possible.",Super tasty food and great customer service. Really impressed with what they are doing and will continue my subscription,super tast food great custom servic realli impress continu subscript
