Rating,Restaurant Name,Categories,Average Rating,Experience Date,Username,Review Title,Information,Review Text,Processed Review Text,Processed Review Title
5,Dineindulge,"['Caterer', 'Catering food and drink supplier', 'Meal Delivery', 'Mobile Caterer', 'Restaurant']",4.9,2023-11-18,Moira Morley,Food was great and chef Luca was…,"Dineindulge is the world’s 1st and only private chef experience. Our personal chef hire service & menus are available in over 10 countries and whether you are booking us in London, Paris, or Rome, you can experience restaurant quality cuisine, at a restaurant price in the comfort of your own home or holiday accommodation.

The Dineindulge service includes your own private chef who will freshly prepare, cook, and serve your chosen Dineindulge menu by taking over your kitchen and equipment in the home, accommodation, or venue. The service is designed to be relaxed and personable with your chef introducing each dish to the table, as well as clearing and cleaning down the kitchen and even doing the washing up before they leave!",Food was great and chef Luca was fantastic,food great chef luck fantast,food great chef luck
5,FFD Catering Equipment,['Restaurant'],4.2,2022-03-02,paul roberts,Very happy,"FFD Catering Equipment mission is to supply the best commercial catering equipment at the lowest prices, with great service & fast nationwide delivery.",Nice when you find the product you're after at a very good price with fast delivery.Will definitely be buying from them again.,nice find product good price fast definit buy,happi
5,La Belle Assiette UK,['Caterer'],4.8,2022-12-17,Kelly K.,Christmas dinner for 14,"Love entertaining in the privacy of your place. Book a private chef. No queue. No taxi. No baby-sitting. Relax and enjoy your guests.

We curate and manage the largest selection of professional chefs in the UK: you can choose from over 250 chefs. The chefs adhere to La Belle Assiette's quality charter: 'home' cooking, fresh, seasonal, organic and local ingredients wherever possible.

Browse the La Belle Assiette app and instantly book the available chefs online. Menus can be personalised and reflect the culinary identity of the Chefs. Our concierges will put you in contact with the selected Chef after the booking.

There are many ways to enjoy a private Chef entirely dedicated to your celebration: sit-down dinner, cocktail buffet, cooking class, gourmet delivery. Anywhere: at home, at your chalet/short-term rental or on your corporate office premises. 

Family dinner. Casual friends dinner. Fine dining. Birthday party. Cocktail party. Holiday home chef. Hen do. Office lunch. Client closing dinner. Corporate offsite. Seminar.",Christmas dinner for 14 ! what a fantastic menu and day loved it x,christma dinner fantast menu day love x,christma dinner
5,La Belle Assiette UK,['Caterer'],4.8,2022-10-08,Alison,Highly Recommended,"Love entertaining in the privacy of your place. Book a private chef. No queue. No taxi. No baby-sitting. Relax and enjoy your guests.

We curate and manage the largest selection of professional chefs in the UK: you can choose from over 250 chefs. The chefs adhere to La Belle Assiette's quality charter: 'home' cooking, fresh, seasonal, organic and local ingredients wherever possible.

Browse the La Belle Assiette app and instantly book the available chefs online. Menus can be personalised and reflect the culinary identity of the Chefs. Our concierges will put you in contact with the selected Chef after the booking.

There are many ways to enjoy a private Chef entirely dedicated to your celebration: sit-down dinner, cocktail buffet, cooking class, gourmet delivery. Anywhere: at home, at your chalet/short-term rental or on your corporate office premises. 

Family dinner. Casual friends dinner. Fine dining. Birthday party. Cocktail party. Holiday home chef. Hen do. Office lunch. Client closing dinner. Corporate offsite. Seminar.",Our chef Zoe was charming and very organized.  Zoe worked with us to tailor the menu to our dietary requirements. On the day she arrived promptly and from then on we left everything to Zoe.  The food was delicious and the kitchen was left looking immaculate.  Many thanks,chef toe charm organ toe work us tailor menu dietari requir day arriv promptli left everyth toe food delici kitchen left look immacul mani thank,highli recommend
5,La Belle Assiette UK,['Caterer'],4.8,2022-11-26,Customertripp,A special birthday experience…,"Love entertaining in the privacy of your place. Book a private chef. No queue. No taxi. No baby-sitting. Relax and enjoy your guests.

We curate and manage the largest selection of professional chefs in the UK: you can choose from over 250 chefs. The chefs adhere to La Belle Assiette's quality charter: 'home' cooking, fresh, seasonal, organic and local ingredients wherever possible.

Browse the La Belle Assiette app and instantly book the available chefs online. Menus can be personalised and reflect the culinary identity of the Chefs. Our concierges will put you in contact with the selected Chef after the booking.

There are many ways to enjoy a private Chef entirely dedicated to your celebration: sit-down dinner, cocktail buffet, cooking class, gourmet delivery. Anywhere: at home, at your chalet/short-term rental or on your corporate office premises. 

Family dinner. Casual friends dinner. Fine dining. Birthday party. Cocktail party. Holiday home chef. Hen do. Office lunch. Client closing dinner. Corporate offsite. Seminar.","The chef provided a super experience with exceptional quality recipes. He took the time to explain each course and it would best be eaten, paired with lovely wines. I was not aware of this service before our superb evening and will definitely recommend your service to friends and family. Thank you for a wonderful evening. 26",chef provid super experi except qualiti recip took time explain cours would best eaten hair love wine unawar servic superb even definit recommend servic friend famili thank wonder even,special birthday
5,La Belle Assiette UK,['Caterer'],4.8,2022-12-21,Duane,What a brilliant service..,"Love entertaining in the privacy of your place. Book a private chef. No queue. No taxi. No baby-sitting. Relax and enjoy your guests.

We curate and manage the largest selection of professional chefs in the UK: you can choose from over 250 chefs. The chefs adhere to La Belle Assiette's quality charter: 'home' cooking, fresh, seasonal, organic and local ingredients wherever possible.

Browse the La Belle Assiette app and instantly book the available chefs online. Menus can be personalised and reflect the culinary identity of the Chefs. Our concierges will put you in contact with the selected Chef after the booking.

There are many ways to enjoy a private Chef entirely dedicated to your celebration: sit-down dinner, cocktail buffet, cooking class, gourmet delivery. Anywhere: at home, at your chalet/short-term rental or on your corporate office premises. 

Family dinner. Casual friends dinner. Fine dining. Birthday party. Cocktail party. Holiday home chef. Hen do. Office lunch. Client closing dinner. Corporate offsite. Seminar.","What a brilliant service... turns up on time and takes care of everything, serves you like you are eating out and leaves everything clean and tidy.",brilliant servic turn time take care everyth serv like eat leav everyth clean tidi,brilliant servic
5,Nandos,['Restaurant'],2.4,2023-09-27,Zak Horton,Great Food,,"Nice friendly restaurant, very nice staff and nice atmosphere and food. Jay at the Derby, Derbion Restaurant was most helpful.",nice friendli restaur nice staff nice atmospher food jay derbi version restaur help,great food
5,Professional Hygiene,['Dentist'],4.4,2022-04-26,Eliza Nielen,Great service and nice people,"We specialise in washroom services, clinical waste management and janitorial products.
  Call 0117 9381322 for more info!",Great service and nice people. Recommended,great servic nice peopl recommend,great servic nice peopl
5,ALL EAT,['Restaurant'],3.3,2022-10-08,Michael Murphy,This app used to be very good…,"All Eat is an online food delivery platform with the community at its heart. Putting people over profits, the platform strives to help customers connect with an abundance of local cuisines all at low prices. All Eat prides itself on having the lowest fees in the market, ensuring affordability for customers and merchants alike so we all eat together.

All Eat is an online food delivery app helping local restaurants and communities say no to 36% commissions to takeaway platforms with Unbeatable food, price, and service​.",This app used to be very good especially for cash deliveryNew version won't allow any delivery at all even though I'm about 500 m away from shop Since the 4th of October till today the 8th not been able to place any delivery orders for cash or card PLS someone sort it outI'm glad to edit this and say issues have been sorted and app is back to being excellent ☺️👌,pp use good especi cash deliverynew version wo allow deliveri even though away shop sinc th octob till today th differ abl place deliveri order cash card pu someon sort glad edit say issu sort pp back excel,pp use
5,Brouge restaurants,['Restaurant'],4.5,2019-11-04,Walia,Had the best 18th Birthday Party here…,"We are a friendly community bar restaurant with a modern and relaxed atmosphere offering delicious fresh food prepared daily.
Modern and cosy atmosphere and excellent service. 

Serving fresh food since 2005.","Had the best 18th Birthday Party here on Saturday. Venue is great for about 70 people. Have to mention the staff and how amazing they all were especially Peter the Manager who took control of everything and the bar staff who also did an amazing job, couldn’t have asked for a better party.  Food we ordered was great and plenty of it with different options for finger food. Even space available for a photo booth.",best birthday parti saturday venu great peopl mention staff amaz especi peter manag took control everyth bar staff also amaz job ask better parti food order great plenti differ option finger food even space avail photo booth,best birthday parti
