Rating,Restaurant Name,Categories,Average Rating,Experience Date,Username,Review Title,Information,Review Text
Rating,Restaurant Name,Categories,Average Rating,Experience Date,Username,Review Title,Information,Review Text
1,Franco Manca,['Restaurant'],2.7,2024-01-13,Sima Nava,Rude and unfair treatment,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"The waiter was terribly rude, I visited here on 13th of January at 1pm with my party, and unfortunately, our experience was less than satisfactory. Upon arrival the waiter told us that all tables were booked and left us waiting in the cold for about half an hour.To our surprise, another group arrived without a reservation (we overheard them) during our wait, and the waiter promptly seated them. I went in and confronted him and the other party admitted that they didn't have a reservation and then they left! We felt deceived and frustrated, especially given the presence of a child in our group and the freezing weather.Obviously we also left, and went to one of the other several restaurants in East Dulwich...I really think the management need to review the booking system and the professionalism of their staff as what we experienced this weekend was just awful."
2,Franco Manca,['Restaurant'],2.7,2024-01-13,Aidy,Appalling service from staff at Exeter branch.,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Took my girlfriend to Franco Manca Exeter branch for a birthday treat. I really wish I had gone somewhere else now.Food was good however, the customer service was appalling. After waiting a long time to be seated, we made our order. For some reason, they served our main course before the starters? When it was pointed out that we wished for starters first, staff seemed startled by this request. How can they get this so wrong? Their own menu even mentions starters as ""pre pizza""? No apology from staff for this.Among others, the starters included Beef Ragu with bread (included). Unfortunately  the bread was not served and we had to ask for it. Things feeling awkward now and once again, no apology from the staff who seemed a bit stumped by us simply asking for what we had ordered.Pizzas came out after a long time waiting. Waiting to pay the bill took far too long as well.Overall, the food was good but the service was appalling. The waiting staff seem disinterested in their jobs and going by the glum look on their faces, probably don't want to work there. It was difficult attracting their attention for the things described above. No one even asked us if everything was OK with our meal.Took my girlfriend there hoping for a nice time and walked out feeling worse. Paid the bill and at least they had the decency not to include the service charge.  Doubt I'll ever go back again and wouldn't recommend it to anyone."
1,Franco Manca,['Restaurant'],2.7,2024-01-10,O P,Manager was rude,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,Wimbledon Branch- Manager was rude. Refused to honour voucher when app was broken.
1,Franco Manca,['Restaurant'],2.7,2023-12-23,Tommy Andrews,Awful - St Paul’s branch,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Awful, rude and disgraceful service from a franchise it wasn’t expected of. I urge anyone that doesn’t want to lose their appetite after getting vile treatment from staff to take their business elsewhere"
1,Franco Manca,['Restaurant'],2.7,2024-01-04,Vaughan Williams,No show,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"I ordered from Franco Manca for the first time this evening, at around 7pm, via Just Eat.  The estimated delivery time was 7.30 to 7.50, which then changed to 7.45 to 8.05.  It never arrived - I eventually phoned at 8.45 and was told it had been ready for some time but there was no driver available, with a very 'not our problem, talk to Just Eat' attitude.  So I've opened a can of soup.  Won't be ordering from them again."
5,Franco Manca,['Restaurant'],2.7,2024-01-12,Nicoleta Partenie,Franco Manca Stratford WELL DONE!,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Professional, fast, organised, THANK YOU! I am impressed!"
5,Franco Manca,['Restaurant'],2.7,2023-12-07,Tegan Blaikie,Franco Manca St Andrew’s Square…,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Franco Manca St Andrew’s Square Edinburgh is amazing! We ordered pizza throughout the day for work lunches and they were nothing short of amazing! Quick food, lovely hosting and amazing pizza! Erica and the team I are fabulous! The most authentic pizza in Edinburgh. ❤️🎉"
1,Franco Manca,['Restaurant'],2.7,2023-12-21,alex lavrinovics,Aleksandrs,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Send them email about booking, no answer for three days. Call them on that day they said all booked now. I said that I need a table for three people, I was told that I will have to wait a maximum of 15 minutes. I came and waited for 40 minutes and thew queue hasn't moved an inch. The customer service is horrible. Never again, avoid this disrespectful treatment. If you don’t have space, say so."
5,Franco Manca,['Restaurant'],2.7,2023-11-16,Nicola Coppen,"Great food, great service, we will be back!",Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"A really enjoyable meal at the Bishopsgate restaurant with friends - thank you to Priyal for the service. Despite (no doubt) being run off her feet, Priyal was attentive and gave first class customer service.As a party of 4, our meals were delicious and excellent value for money. It was a lovely lunch and we will be back again soon!"
