Rating,Restaurant Name,Categories,Average Rating,Experience Date,Username,Review Title,Information,Review Text

5,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-09,Ms Cherith Adams,Amazing offer on a spa retreat…,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","I got an amazing offer on a spa retreat and the place was incredible. The  process with buyagift was good but being completely honest,  it would have been better if I could have linked through buyagift to complete the booking rather than email the place separately to book.  Mainly because it wasn't immediately confirmed. Would definitely use again though absolutely! Thank you so much"

3,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-07,Mr Paul Parker,Bought vouchers for a family birthday…,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",Bought vouchers for a family birthday present gift. Purchased e voucher all straight forward so far. Marked down score because been bombarded with requests for feedback! Not processed voucher yet so cant comment any further than buying a voucher. Maybe ask for feedback when there is opportunity to provide the full experience

5,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-09,Gerri,Amazing Cream Tea Experience,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","A home delivery of our Cream Tea Experience from Piglet’s Pantry was amazing !! We loved it so much, so fresh & tasty. Having limited mobility this was just perfect, a cream tea at home."

4,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-09,pPenny Thornton,My choice was not available but the BAG team  were really helpful in sorting it out,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",My experience was not available when I tried to book it with the venue but BAG renewed and gave me an extended date so i could choose something else. The venue had stopped accepting the vouchers and were a bit brusque with me I had waited to book until I was well and had been looking forward to the vineyard visit and aftermoon tea experience. However we then booked afternoon tea at Harvey Nichols in London as we were going to the capital on another visit. We enjoyed this very much.

5,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-09,Adrienne Ralphs,I bought a tank drive for a 50th…,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",I bought a tank drive for a 50th birthday present for our son in law- now booked and we’re hoping he’ll enjoy the experience. No problem with the purchase or booking.

